language,group,label,n,mean_probability,median_probability,std_probability,fraction_over_50
hi,synth_hi_17,1,15,0.7132828957333147,0.806758177051718,0.271831575947446,0.8
hi,synth_hi_18,1,15,0.7304033523456134,0.7774508459824979,0.17891707100322343,0.8666666666666667
hi,synth_hi_19,1,15,0.8048207273338738,0.8217153646203654,0.1111568761961457,1.0
hi,synth_hi_2,1,15,0.5653410231226966,0.5702881765083703,0.2735491591670824,0.6
hi,synth_hi_3,1,15,0.6377385181221877,0.673903175778188,0.1976656553471945,0.8
hi,synth_hi_4,1,15,0.6529537733109881,0.737707805527108,0.2773718155639674,0.7333333333333333
hi,synth_hi_5,1,15,0.5614229589133285,0.7169490742573466,0.3077936590838031,0.5333333333333333
hi,synth_hi_6,1,15,0.6280235049724779,0.7806225287727508,0.3267574069762751,0.6666666666666666
hi,synth_hi_7,1,15,0.6690311602088383,0.7342479593254895,0.23458059194465256,0.8
hi,synth_hi_8,1,15,0.6496346398935419,0.7401110966362099,0.27138759480041336,0.6666666666666666
hi,synth_hi_9,1,15,0.6971387242954187,0.7571460846475703,0.24928305782468319,0.8
ta,indicvoices_ta_0,0,15,0.06041237973739846,0.027885526308134914,0.06962859461218057,0.0
ta,indicvoices_ta_1,0,15,0.05255909485651345,0.005152412712167793,0.172069201490187,0.06666666666666667
ta,indicvoices_ta_10,0,15,0.10084278407610882,0.00995043026496075,0.21192735304603022,0.06666666666666667
ta,indicvoices_ta_11,0,15,0.09827067863003575,0.016119044584518818,0.1927552881361926,0.06666666666666667
ta,indicvoices_ta_12,0,15,0.09162675536437297,0.006980058391306248,0.24780394657096608,0.06666666666666667
ta,indicvoices_ta_13,0,15,0.07916363327028779,0.01565401684334303,0.13698722296179108,0.0
ta,indicvoices_ta_14,0,15,0.07113078627003064,0.009490494299034362,0.17240902854212872,0.06666666666666667
ta,indicvoices_ta_15,0,15,0.06394376349611458,0.004302737188181314,0.20492112640537222,0.06666666666666667
ta,indicvoices_ta_16,0,15,0.18708223629701767,0.021128157793384898,0.2953119925842657,0.13333333333333333
ta,indicvoices_ta_17,0,15,0.16968231227723551,0.009345884530225678,0.3297964281849009,0.13333333333333333
ta,indicvoices_ta_18,0,15,0.11929924538273991,0.004582580893382491,0.2845310233138492,0.13333333333333333
ta,indicvoices_ta_19,0,15,0.05906261541436807,0.0044012127767597406,0.11301772022124294,0.0
ta,indicvoices_ta_2,0,15,0.06791760709927354,0.0032310957373747943,0.2369449753241023,0.06666666666666667
ta,indicvoices_ta_3,0,15,0.06766266663169415,0.004325173753482834,0.1502816294369176,0.0
ta,indicvoices_ta_4,0,15,0.11209885023537688,0.0052204558753224835,0.24978905304258267,0.06666666666666667
ta,indicvoices_ta_5,0,15,0.14705203639988051,0.005900982998519314,0.31436603435470634,0.13333333333333333
ta,indicvoices_ta_6,0,15,0.06051977209714169,0.0062354772136226375,0.14941958146101383,0.06666666666666667
ta,indicvoices_ta_7,0,15,0.10056892794011844,0.010250696927928406,0.2515997086706919,0.06666666666666667
ta,indicvoices_ta_8,0,15,0.03463485591765248,0.002364561630295552,0.09570142047622494,0.0
ta,indicvoices_ta_9,0,15,0.019053265773840214,0.004490371346230903,0.028598757179643754,0.0
ta,synth_ta_0,1,15,0.9751037582668479,0.9890200570665438,0.024098494959564763,1.0
ta,synth_ta_1,1,15,0.9570998578507909,0.9704103743021582,0.03691193633334367,1.0
ta,synth_ta_10,1,15,0.9872122368955379,0.9884926091550504,0.006858142421631069,1.0
ta,synth_ta_11,1,15,0.9544152867843361,0.9817697028571671,0.09537533263941254,1.0
ta,synth_ta_12,1,15,0.9713264807525861,0.989292219027233,0.04419447230732068,1.0
ta,synth_ta_13,1,15,0.9217269728474126,0.9822639254303254,0.12231923508042239,1.0
ta,synth_ta_14,1,15,0.9402966855566753,0.9785522112580628,0.10157855626903348,1.0
ta,synth_ta_15,1,15,0.9582659173357284,0.985346347485799,0.06557979076062853,1.0
ta,synth_ta_16,1,15,0.9776022013343992,0.9829187484219463,0.020966637600957322,1.0
ta,synth_ta_17,1,15,0.9491749495693683,0.984724104333089,0.07436505335160881,1.0
ta,synth_ta_18,1,15,0.9258874957454294,0.9849279068393315,0.1801209323364225,0.9333333333333333
ta,synth_ta_19,1,15,0.9822164987796008,0.9890696082513268,0.017246992726382384,1.0
ta,synth_ta_2,1,15,0.778539559073811,0.9639917761735148,0.3109250954479974,0.8
ta,synth_ta_3,1,15,0.9179540633871981,0.9884372622156318,0.25324094194417324,0.9333333333333333
ta,synth_ta_4,1,15,0.9356212310224741,0.9825629336295654,0.15495602676169468,0.9333333333333333
ta,synth_ta_5,1,15,0.965587475502356,0.9893808104321015,0.058704326118385226,1.0
ta,synth_ta_6,1,15,0.9773118112566931,0.9890398349989656,0.026590804036232145,1.0
ta,synth_ta_7,1,15,0.9481284246010985,0.9904699415279191,0.08881856953862947,1.0
ta,synth_ta_8,1,15,0.9479582279099616,0.9860711183078658,0.07828687856160119,1.0
ta,synth_ta_9,1,15,0.8831247136411394,0.9832626493466772,0.2130417632133766,0.9333333333333333
